"typ";"quelle_url";"bild_url";"alt_text"
"news";"https://www.deinbier-allgaeu.de/sommerzeit-party-faesser-zeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/07/Partyfass_22-1080x675.jpg";"Sommerzeit 'Party-Fässer' Zeit DEINBIER"
"news";"https://www.deinbier-allgaeu.de/starkbierfest-in-der-brauscheune-in-hausen/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Bock-rund-800x675.png";"Logo Bockbier"
"news";"https://www.deinbier-allgaeu.de/termin-fuer-naechstes-brauseminar/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/malz_offen-1080x675.jpg";"Bevor der Brausud angesetzt wird muss das Malz geschrotet werden"
"news";"https://www.deinbier-allgaeu.de/termine-oeffentliche-bauseminare-2025/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/ansatz1-1080x675.jpg";"Hier wird das Malzschrot im Maischebottich mit Wasser vermischt und alles erhitzt."
"news";"https://www.deinbier-allgaeu.de/termine-oeffentliche-brauseminare-1-halbjahr-2026/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/malz_offen-1080x675.jpg";"Bevor der Brausud angesetzt wird muss das Malz geschrotet werden"
"news";"https://www.deinbier-allgaeu.de/termine-oeffentliche-brauseminare/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/ansatz-1080x675.jpg";"Hier wird das Malzschrot im Maischebottich mit Wasser vermischt und alles erhitzt."
"news";"https://www.deinbier-allgaeu.de/weihnachtsbrauerei/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/11/20191206_1749321-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/weihnachtszauber-bei-dein-bier/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/12/20201201_173850-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/weizenbier-ist-wieder-da/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Rund-Weizen-800x675.png";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/weizenbier-ist-wieder-da/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Montage_Bierflasche-Weizen-684x1024.png";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/wieder-da-gluehbi-und-winterzicke/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/03/eroeffnung-wdg_23-1080x675.jpg";"Ferienwohnung Landhof Eselblick Brauerei DEINBIER Frankenried-Mauerstetten"
"news";"https://www.deinbier-allgaeu.de/winterspezialitaeten/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/02/gluehbi-1080x675.png";"GLÜHBI"
"news";"https://www.deinbier-allgaeu.de/winterzauber/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/11/20191206_1749321-1024x768.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/winterzauber/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2023/12/DSC_9319-edited-2-1004x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/winterzeit-gluehbi-und-zicken-zeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2025/11/20211110_111732-1080x675.jpg";"<ALT LEER>"
"news";"https://www.deinbier-allgaeu.de/winterzeit-spezialitaetenzeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Bierstachel-1080x675.jpg";"Unserer neue Bierstachel Station für unserem frisch abgefüllten Dein Bier Bock."
"news";"https://www.deinbier-allgaeu.de/winterzeit-spezialitaetenzeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Bierstachel1-150x150.jpg";"Unserer neue Bierstachel Station für unserem frisch abgefüllten Dein Bier Bock."
"news";"https://www.deinbier-allgaeu.de/winterzeit-spezialitaetenzeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Bierstachel2.jpg";"Unserer neue Bierstachel Station für unserem frisch abgefüllten Dein Bier Bock."
"news";"https://www.deinbier-allgaeu.de/winterzeit-spezialitaetenzeit/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/Bierstachel3.jpg";"Unserer neue Bierstachel Station für unserem frisch abgefüllten Dein Bier Bock."
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Bierlikoer.png";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Bruier-Fuier.png";"<ALT LEER>"
